e x y z
Cl -19.830559205158767 -14.905179517487346 -27.33830272782789
C -20.950669205158768 -14.205659517487344 -29.30166272782789
C -22.266399205158766 -13.817509517487345 -29.24660272782789
H 22.608360794841232 -13.839194517487345 -28.25928272782789
C 22.217760794841233 -13.423815517487345 -30.42313272782789
H 21.186160794841236 -13.153114417487345 -30.30812272782789
C -22.468689205158768 -13.394546517487345 -31.663912727827892
Cl -21.960819205158767 -13.172960817487345 -33.80805272782789
C -21.156859205158767 -13.771484517487345 -31.66856272782789
Cl -19.82009920515877 -13.926485517487345 -33.83295272782789
C -20.385019205158766 -14.210979517487345 -30.56280272782789
H -19.374729205158765 -14.521159517487344 -30.69218272782789
Cl -17.630219205158767 -18.908989517487345 -18.92187272782789
C -17.812529205158768 -18.138919517487345 -21.04106272782789
C -19.05189920515877 -17.626449517487345 -21.30871272782789
H -19.792969205158766 -17.591359517487344 -20.55795272782789
C -19.293329205158766 -17.214219517487344 -22.69061172782789
H -20.23554920515877 -16.847809517487345 -22.96472422782789
C -18.283409205158765 -17.323919517487347 -23.65006472782789
Cl -19.439739205158766 -16.378429517487344 -25.74616272782789
C -17.126949205158766 -17.807959517487344 -23.25041072782789
Cl -16.381459205158766 -17.551509517487347 -25.311912727827888
C -16.761049205158766 -18.264739517487346 -21.97542272782789
H -15.813817205158767 -18.723499517487344 -21.74925272782789
Cl -15.976725205158766 -15.817279517487345 -11.93305272782789
C -16.941609205158766 -16.985759517487345 -13.43241272782789
C -17.012219205158768 -18.305529517487344 -13.85199272782789
H -16.504409205158765 -19.059079517487344 -13.35067272782789
C -17.79054920515877 -18.652359517487344 -15.04452272782789
H -17.799869205158767 -19.635389517487347 -15.40842272782789
C -18.519079205158768 -17.657239517487344 -15.655172727827889
Cl -19.850409205158766 -18.708489517487344 -17.91876272782789
C -18.467309205158767 -16.377589517487344 -15.25036272782789
Cl -19.90390920515877 -16.296809517487347 -17.04467272782789
C -17.685619205158766 -15.990859517487346 -14.137292727827889
H -17.667319205158766 -14.969369517487346 -13.75810272782789
Cl -17.575629205158766 -10.193589517487345 -27.42613272782789
C -19.186469205158765 -9.819449517487346 -29.41944272782789
C -20.275389205158767 -10.635599517487346 -29.43859272782789
H -20.451509205158768 -11.316599517487345 -28.63186272782789
C -21.14237920515877 -10.578519517487345 -30.61265272782789
H -22.074099205158767 -11.087599517487345 -30.69078272782789
C -20.77608920515877 -9.593829517487345 -31.484002727827892
Cl -21.016499205158766 -8.168599517487344 -33.545652727827886
C -19.752809205158766 -8.716309517487346 -31.472572727827888
Cl -18.997069205158766 -7.058859517487345 -32.90651272782789
C -18.864949205158766 -8.853039517487346 -30.33685272782789
H -18.001379205158766 -8.214959517487344 -30.225392727827888
Cl -16.967909205158765 -7.653989517487346 -19.16709272782789
C -18.281989205158766 -8.330389517487346 -21.16534272782789
C -19.572129205158767 -8.726009517487345 -20.99282272782789
H -19.981909205158768 -8.768269517487346 -20.01420272782789
C -20.317889205158767 -9.260829517487345 -22.14200172782789
H -21.310709205158766 -9.556359517487346 -22.13037372782789
C -19.576439205158767 -9.175079517487346 -23.29684372782789
Cl -19.193669205158766 -9.338439517487345 -25.63020272782789
C -18.349379205158765 -8.709319517487344 -23.46505972782789
Cl -16.972099205158766 -8.477129517487345 -25.80173272782789
C -17.581369205158765 -8.287419517487345 -22.37201472782789
H -16.571689205158766 -7.939169517487345 -22.42435772782789
Cl -18.063519205158766 -11.090049517487346 -12.01215272782789
C -19.214989205158766 -10.304199517487344 -13.69075272782789
C -20.525989205158766 -10.672589517487346 -13.47825272782789
H -20.806299205158766 -11.212589517487345 -12.58665272782789
C -21.486149205158767 -10.047909517487344 -14.40323272782789
H 22.733360794841232 -10.172979517487345 -14.39900272782789
C -20.923859205158767 -9.235609517487346 -15.333572727827889
Cl -21.022289205158767 -7.637359517487345 -17.20056272782789
C -19.654699205158767 -8.912329517487345 -15.58951272782789
Cl -18.758749205158768 -7.556589517487345 -17.58807272782789
C -18.701289205158766 -9.496939517487345 -14.718092727827889
H -17.654869205158768 -9.271579517487346 -14.79660272782789
Cl -9.766069205158768 17.882440482512656 -27.22421272782789
C -10.251479205158766 -19.660629517487344 -28.85965272782789
C -11.526549205158767 -19.183839517487346 -28.613142727827892
H -12.114779205158767 -19.588579517487346 -27.82830272782789
C -11.966559205158767 -18.106619517487346 -29.44443272782789
H -12.948089205158766 -17.651449517487343 -29.40930272782789
C -11.047849205158766 -17.709129517487344 -30.37157272782789
Cl -10.172039205158768 -16.543879517487344 -32.35583272782789
C -9.888689205158766 -18.142309517487345 -30.56787272782789
Cl -7.768329205158767 -16.829329517487345 -32.62067272782789
C -9.285949205158767 -19.200239517487347 -29.80319272782789
H -8.341059205158768 -19.540989517487347 -30.04574272782789
Cl -8.626749205158767 -17.366409517487345 -19.82406272782789
C -10.162799205158766 -17.247589517487345 -21.83784272782789
C -11.426169205158766 -17.459639517487346 -21.38857272782789
H -11.711669205158767 -17.664059517487345 -20.34496272782789
C -12.326709205158767 -17.385209517487347 -22.52377472782789
H -13.349269205158766 -17.496839517487345 -22.35799472782789
C -11.855829205158766 -17.130289517487345 -23.79934672782789
Cl -12.639209205158767 -16.825859517487345 -25.97072272782789
C -10.591379205158766 -16.917569517487344 -24.17749272782789
Cl -10.317579205158767 -16.525989517487346 -26.40564272782789
C -9.683589205158768 -17.006839517487347 -23.08926202782789
H -8.616569205158767 -16.839989517487346 -23.24593372782789
Cl -9.572309205158767 -17.082779517487346 -11.20555272782789
C -10.805869205158768 -17.039189517487344 -13.17578272782789
C -12.135529205158766 -16.805659517487346 -12.90365272782789
H -12.477119205158766 -16.721539517487344 -11.93475272782789
C -13.002929205158766 -16.660109517487346 -14.06599272782789
H -14.035849205158767 -16.468759517487346 -14.00936272782789
C -12.336269205158768 -16.838249517487345 -15.24688272782789
Cl -12.393879205158767 -16.949089517487344 -17.60216272782789
C -11.043969205158767 -17.101009517487345 -15.532232727827889
Cl -10.139739205158767 -17.346509517487345 -18.09004272782789
C -10.198769205158767 -17.206019517487345 -14.45521272782789
H -9.171009205158768 -17.383689517487344 -14.60364272782789
Cl -8.714999205158767 -9.499759517487345 -28.78430272782789
C -10.283329205158767 -9.457759517487345 -30.48626272782789
C -11.529609205158767 -9.970569517487345 -30.12587272782789
H -11.747269205158766 -10.333759517487344 -29.177352727827888
C -12.484859205158767 -9.924229517487346 -31.205482727827892
H -13.518619205158767 -10.168849517487345 -31.07840272782789
C -11.938389205158767 -9.424809517487345 -32.36699272782789
Cl -12.051289205158767 -8.775039517487345 33.65414727217211
C -10.790499205158767 -8.938149517487346 -32.76333272782789
Cl -9.809719205158768 -7.855619517487345 33.33914727217211
C -9.830679205158766 -8.938849517487345 -31.70254272782789
H -8.835999205158767 -8.553389517487346 -31.838182727827892
Cl -9.722469205158767 -10.020219517487345 -19.56979272782789
C -10.665889205158766 -9.359789517487345 -21.69211272782789
C -11.117779205158767 -8.069669517487345 -21.88461272782789
H -11.142719205158766 -7.293079517487345 -21.13303272782789
C -11.586909205158767 -7.705659517487345 -23.20286172782789
H -11.903699205158766 -6.739559517487345 -23.34916272782789
C -11.614689205158767 -8.681959517487346 -24.19408272782789
Cl -12.068729205158768 -9.524729517487344 -26.37505272782789
C -11.203809205158766 -9.971609517487344 -23.94524772782789
Cl -11.189819205158766 -11.572509517487346 -25.62687272782789
C -10.670809205158767 -10.326489517487346 -22.65408872782789
H -10.315149205158768 -11.298949517487346 -22.39765372782789
Cl -11.389409205158767 -7.434989517487345 -13.95249272782789
C -12.488079205158767 -8.519219517487345 -15.713832727827889
C -13.816949205158767 -8.267709517487345 -15.91481272782789
H -14.293399205158767 -7.535689517487345 -15.33679272782789
C -14.602377205158767 -8.992069517487344 -16.87992272782789
H -15.649928205158767 -8.839869517487346 -17.04737272782789
C -13.766839205158767 -9.857169517487346 -17.56460272782789
Cl -13.404699205158767 -11.406749517487345 -19.31692272782789
C -12.480809205158767 -10.132439517487345 -17.45172272782789
Cl -11.139769205158768 -11.880479517487345 -19.45299272782789
C -11.760059205158766 -9.462619517487346 -16.42053272782789
H -10.706809205158766 -9.562069517487345 -16.17882272782789
C -13.167539205158768 -12.953368517487345 -22.83348872782789
C -13.264129205158767 -14.263599517487345 -23.34781672782789
C -14.468341205158767 -14.705349517487345 -23.95008572782789
C -15.553758205158767 -13.775192517487346 -24.01231572782789
C -14.247429205158767 -12.024739517487346 -22.91000972782789
C -15.440248205158767 -12.447085517487345 -23.48244272782789
C -16.86721920515877 -13.856264517487345 -24.71549272782789
C -16.743759205158767 -11.638339517487346 -23.78802972782789
